time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
session,LSD,nausea,2,58.003,201,0.2885721393034826,28.85721393034826,row-wise preference: absolute_events else events
session,LSD,headache,4,56.016999999999996,241,0.23243568464730288,23.243568464730288,row-wise preference: absolute_events else events
session,LSD,hallucination visual,1,30.006,159,0.18871698113207547,18.871698113207547,row-wise preference: absolute_events else events
session,LSD,affect liability,1,2,11,0.18181818181818182,18.181818181818183,row-wise preference: absolute_events else events
session,LSD,derealization,1,2,11,0.18181818181818182,18.181818181818183,row-wise preference: absolute_events else events
session,LSD,chills,1,5,29,0.1724137931034483,17.24137931034483,row-wise preference: absolute_events else events
session,LSD,dizziness,3,39.003,230,0.1695782608695652,16.95782608695652,row-wise preference: absolute_events else events
session,LSD,sleep disorder,2,12,71,0.16901408450704225,16.901408450704224,row-wise preference: absolute_events else events
session,LSD,decreased concentration,1,7,42,0.16666666666666666,16.666666666666664,row-wise preference: absolute_events else events
session,LSD,euphoric mood,1,23.989,159,0.150874213836478,15.0874213836478,row-wise preference: absolute_events else events
session,LSD,common cold,1,6,42,0.14285714285714285,14.285714285714285,row-wise preference: absolute_events else events
session,LSD,fatigue,4,32.989000000000004,241,0.13688381742738592,13.688381742738592,row-wise preference: absolute_events else events
session,LSD,mydriasis,2,23.014,170,0.1353764705882353,13.537647058823529,row-wise preference: absolute_events else events
session,LSD,perspiration,2,21.014,170,0.12361176470588235,12.361176470588235,row-wise preference: absolute_events else events
session,LSD,hypertension,1,16.003,159,0.10064779874213836,10.064779874213837,row-wise preference: absolute_events else events
session,LSD,anemia,1,1,11,0.09090909090909091,9.090909090909092,row-wise preference: absolute_events else events
session,LSD,anger,1,1,11,0.09090909090909091,9.090909090909092,row-wise preference: absolute_events else events
session,LSD,bradyphrenia,1,1,11,0.09090909090909091,9.090909090909092,row-wise preference: absolute_events else events
session,LSD,depersonalization,1,1,11,0.09090909090909091,9.090909090909092,row-wise preference: absolute_events else events
session,LSD,femur fracture,1,1,11,0.09090909090909091,9.090909090909092,row-wise preference: absolute_events else events
