time_window,molecule,study_id,ae_term,n_arms,events_total,n_total,rate,rate_pct
follow_up,MDMA,Mithoefer2011,autonomic,1,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,decreased concentration,1,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,depression,1,0.42,12,0.034999999999999996,3.4999999999999996
follow_up,MDMA,Mithoefer2011,dissociation,1,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,dizziness,1,0.13,12,0.010833333333333334,1.0833333333333335
follow_up,MDMA,Mithoefer2011,fatigue,1,0.75,12,0.0625,6.25
follow_up,MDMA,Mithoefer2011,headache,1,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,infectious,1,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,irritability,1,0.33,12,0.0275,2.75
follow_up,MDMA,Mithoefer2011,jaw tension,1,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2011,lack of appetite,1,0.38,12,0.03166666666666667,3.166666666666667
follow_up,MDMA,Mithoefer2011,muscle tension,1,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,nausea,1,0.29,12,0.024166666666666666,2.4166666666666665
follow_up,MDMA,Mithoefer2011,ophthalmological,1,0.08,12,0.006666666666666667,0.6666666666666667
follow_up,MDMA,Mithoefer2011,pain,1,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,restlessness,1,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2011,rumination,1,0.13,12,0.010833333333333334,1.0833333333333335
follow_up,MDMA,Mithoefer2011,sleep disorder,1,0.59,12,0.049166666666666664,4.916666666666666
follow_up,MDMA,Mithoefer2011,weakness,1,0.29,12,0.024166666666666666,2.4166666666666665
follow_up,MDMA,Mithoefer2011,xerostomia,1,0.04,12,0.0033333333333333335,0.33333333333333337
follow_up,MDMA,Mithoefer2018,anxiety,2,1.54,19,0.08105263157894738,8.105263157894738
follow_up,MDMA,Mithoefer2018,decreased concentration,1,0.42,12,0.034999999999999996,3.4999999999999996
follow_up,MDMA,Mithoefer2018,depression,1,0.25,12,0.020833333333333332,2.083333333333333
follow_up,MDMA,Mithoefer2018,fatigue,2,1.83,19,0.09631578947368422,9.631578947368421
follow_up,MDMA,Mithoefer2018,headache,2,1.01,19,0.053157894736842105,5.315789473684211
follow_up,MDMA,Mithoefer2018,irritability,2,0.79,19,0.041578947368421056,4.157894736842105
follow_up,MDMA,Mithoefer2018,lack of appetite,2,0.64,19,0.03368421052631579,3.3684210526315788
follow_up,MDMA,Mithoefer2018,muscle tension,2,1.01,19,0.053157894736842105,5.315789473684211
follow_up,MDMA,Mithoefer2018,sleep disorder,2,2.87,19,0.15105263157894738,15.105263157894738
follow_up,MDMA,Oehen2013,anxiety,1,0.26,43,0.006046511627906977,0.6046511627906977
follow_up,MDMA,Oehen2013,autonomic,1,0.16,43,0.0037209302325581397,0.37209302325581395
follow_up,MDMA,Oehen2013,decreased concentration,1,0.23,43,0.005348837209302326,0.5348837209302326
follow_up,MDMA,Oehen2013,depression,1,0.47,43,0.010930232558139534,1.0930232558139534
follow_up,MDMA,Oehen2013,dizziness,1,0.25,43,0.005813953488372093,0.5813953488372093
follow_up,MDMA,Oehen2013,fatigue,1,0.56,43,0.013023255813953489,1.302325581395349
follow_up,MDMA,Oehen2013,headache,1,0.23,43,0.005348837209302326,0.5348837209302326
