time_window,molecule,study_id,arm_id,group,arm_type,dose_mg,ae_term,events_total,n_total,rate,rate_pct
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,feeling of relaxation,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,femur fracture,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,hallucination,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,headache,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,illusions,0.727272727272727,11,0.06611570247933882,6.611570247933882
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,impaired gait,0.363636363636364,11,0.03305785123966945,3.305785123966945
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,menorrhagia,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,mydriasis,0.272727272727273,11,0.02479338842975209,2.479338842975209
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,neoplasm progression,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,palmar-plantar erythrodysaesthesia syndrome,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,perseveration,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,perspiration,0.181818181818182,11,0.016528925619834725,1.6528925619834725
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,pneumonia,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,pruritus,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,skin lesion,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,tachyphrenia,0,11,0,0
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,temperature perception disturbances,0.636363636363636,11,0.057851239669421455,5.7851239669421455
session,LSD,Gasser2014,high_dose,high_dose,active,0.2,thinking abnormal,0.0909090909090909,11,0.008264462809917354,0.8264462809917353
