molecule,ae_term,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
MDMA,restlessness,spline_df3,dose_diff,NA,NA,NA,NA,0.6240585782383219,NA,NA,10,NA,NA,NA,
PSILOCYBIN,restlessness,spline_df3,dose_diff,NA,NA,NA,NA,0.7358860785496759,NA,NA,4,NA,NA,NA,
MDMA,rumination,spline_df3,dose_diff,NA,NA,NA,NA,0.596592188247799,NA,NA,7,NA,NA,NA,
MDMA,sleep disorder,spline_df3,dose_diff,NA,NA,NA,NA,0.3958851421306776,NA,NA,15,NA,NA,NA,
PSILOCYBIN,sleep disorder,spline_df3,dose_diff,NA,NA,NA,NA,0.5679699612768344,NA,NA,5,NA,NA,NA,
PSILOCYBIN,suicidal ideation,spline_df3,dose_diff,NA,NA,NA,NA,0.3653778371937012,NA,NA,8,NA,NA,NA,
LSD,temperature perception disturbances,spline_df3,dose_diff,NA,NA,NA,NA,0.7951829646919503,NA,NA,5,NA,NA,NA,
LSD,thinking abnormal,spline_df3,dose_diff,NA,NA,NA,NA,0.6118958306783928,NA,NA,5,NA,NA,NA,
MDMA,weakness,spline_df3,dose_diff,NA,NA,NA,NA,0.7019770965251084,NA,NA,4,NA,NA,NA,
MDMA,xerostomia,spline_df3,dose_diff,NA,NA,NA,NA,0.4638890668833053,NA,NA,4,NA,NA,NA,
